var	minCostFlow
30	0.15828
30	0.301901
30	0.197189
30	0.331464
30	0.265817
30	0.117569
30	0.276782
30	0.14076
30	0.206537
30	0.101198
30	0.0940274
30	0.207289
30	0.277862
30	0.193201
30	0.234796
30	0.212848
30	0.258993
30	0.232577
30	0.199113
30	0.208552
30	0.176937
30	0.163208
30	0.265665
30	0.265432
30	0.181523
30	0.135713
30	0.162192
30	0.215374
30	0.302479
30	0.278994
30	0.238674
30	0.148188
30	0.200424
30	0.160249
30	0.352202
30	0.292123
30	0.250117
30	0.189373
30	0.122274
30	0.133145
30	0.220063
30	0.154328
30	0.30226
30	0.190289
30	0.148388
30	0.238015
30	0.279167
30	0.173615
30	0.173628
30	0.238363
30	0.218374
30	0.22168
30	0.22694
30	0.208475
30	0.158383
30	0.211362
30	0.180405
30	0.413036
30	0.262096
30	0.21933
30	0.203213
30	0.220977
30	0.223624
30	0.186407
30	0.277601
30	0.199898
30	0.167618
30	0.211173
30	0.283986
30	0.249519
30	0.200909
30	0.270959
30	0.247461
30	0.251537
30	0.183385
30	0.208475
30	0.123044
30	0.255694
30	0.229838
30	0.129722
30	0.170237
30	0.23351
30	0.239051
30	0.141114
30	0.331464
30	0.226665
30	0.346579
30	0.173939
30	0.203646
30	0.319421
30	0.179813
30	0.243769
30	0.130335
30	0.225279
30	0.224774
30	0.126015
30	0.307489
30	0.23468
30	0.240583
30	0.0984624
32	0.240831
32	0.310506
32	0.190035
32	0.307379
32	0.0913658
32	0.268948
32	0.241272
32	0.137676
32	0.138197
32	0.143418
32	0.180112
32	0.102717
32	0.214892
32	0.299842
32	0.204364
32	0.165068
32	0.202322
32	0.262314
32	0.241916
32	0.165555
32	0.264795
32	0.299594
32	0.284378
32	0.200338
32	0.203537
32	0.232758
32	0.198335
32	0.231444
32	0.313122
32	0.195217
32	0.308074
32	0.212342
32	0.212782
32	0.25114
32	0.22854
32	0.199376
32	0.180631
32	0.24473
32	0.189843
32	0.21079
32	0.201011
32	0.144739
32	0.300556
32	0.229992
32	0.23717
32	0.242765
32	0.240226
32	0.315545
32	0.248948
32	0.284234
32	0.274195
32	0.219577
32	0.220755
32	0.173246
32	0.181283
32	0.26424
32	0.222053
32	0.236054
32	0.122903
32	0.190876
32	0.264824
32	0.191243
32	0.120834
32	0.226228
32	0.18029
32	0.208409
32	0.201401
32	0.115698
32	0.167859
32	0.185966
32	0.285433
32	0.299402
32	0.1691
32	0.113124
32	0.175757
32	0.214723
32	0.319265
32	0.20862
32	0.263833
32	0.209607
32	0.177859
32	0.207582
32	0.207223
32	0.195826
32	0.190736
32	0.246513
32	0.231129
32	0.195822
32	0.0873552
32	0.192888
32	0.232581
32	0.238063
32	0.109806
32	0.29827
32	0.192451
32	0.184578
32	0.235405
32	0.180739
32	0.243817
32	0.152214
34	0.165118
34	0.288214
34	0.186767
34	0.158289
34	0.239795
34	0.2377
34	0.210756
34	0.190504
34	0.176533
34	0.172199
34	0.280765
34	0.306053
34	0.239918
34	0.142231
34	0.13918
34	0.256987
34	0.233865
34	0.260387
34	0.174899
34	0.262624
34	0.269466
34	0.248901
34	0.10048
34	0.248935
34	0.251979
34	0.372734
34	0.208523
34	0.187881
34	0.261567
34	0.234525
34	0.266438
34	0.164492
34	0.179654
34	0.214562
34	0.196026
34	0.260418
34	0.22639
34	0.132333
34	0.218112
34	0.342462
34	0.331611
34	0.244539
34	0.203521
34	0.22668
34	0.254243
34	0.159239
34	0.175365
34	0.225144
34	0.111747
34	0.111444
34	0.18118
34	0.232943
34	0.204649
34	0.145832
34	0.184413
34	0.216449
34	0.223563
34	0.135481
34	0.331967
34	0.12478
34	0.1908
34	0.261977
34	0.269429
34	0.194938
34	0.31036
34	0.244541
34	0.195466
34	0.297895
34	0.15016
34	0.236421
34	0.335816
34	0.229048
34	0.162623
34	0.19421
34	0.169952
34	0.281554
34	0.239671
34	0.235342
34	0.165349
34	0.160298
34	0.185539
34	0.122323
34	0.246833
34	0.197176
34	0.155643
34	0.182741
34	0.244494
34	0.192854
34	0.212422
34	0.14246
34	0.308428
34	0.141365
34	0.307028
34	0.299289
34	0.265105
34	0.260213
34	0.149315
34	0.209672
34	0.230906
34	0.265788
36	0.168275
36	0.35096
36	0.205463
36	0.203998
36	0.224025
36	0.19592
36	0.195035
36	0.047657
36	0.232466
36	0.24727
36	0.178659
36	0.164347
36	0.0948624
36	0.172724
36	0.121136
36	0.190363
36	0.225284
36	0.25404
36	0.316772
36	0.310805
36	0.174472
36	0.268689
36	0.21137
36	0.243163
36	0.137641
36	0.259222
36	0.198467
36	0.264343
36	0.163156
36	0.223593
36	0.219381
36	0.196936
36	0.185706
36	0.186159
36	0.244007
36	0.271307
36	0.234812
36	0.392456
36	0.200591
36	0.265973
36	0.198279
36	0.22776
36	0.282826
36	0.235485
36	0.229732
36	0.229555
36	0.247263
36	0.233706
36	0.175212
36	0.136559
36	0.236996
36	0.146927
36	0.250191
36	0.187132
36	0.279775
36	0.100927
36	0.157839
36	0.234728
36	0.083452
36	0.148667
36	0.248338
36	0.188892
36	0.225967
36	0.220142
36	0.196243
36	0.20197
36	0.18313
36	0.289538
36	0.238954
36	0.244039
36	0.163544
36	0.223137
36	0.155003
36	0.174075
36	0.241535
36	0.228784
36	0.195331
36	0.344965
36	0.209889
36	0.176472
36	0.226004
36	0.209895
36	0.334674
36	0.244397
36	0.237799
36	0.223773
36	0.1856
36	0.322873
36	0.178634
36	0.127629
36	0.272471
36	0.25382
36	0.247424
36	0.125571
36	0.326273
36	0.225085
36	0.13719
36	0.32397
36	0.144648
36	0.175203
38	0.15045
38	0.165976
38	0.198798
38	0.11241
38	0.164145
38	0.18847
38	0.302651
38	0.230106
38	0.19594
38	0.143597
38	0.210954
38	0.126968
38	0.152863
38	0.249826
38	0.19202
38	0.160711
38	0.187108
38	0.0980887
38	0.229499
38	0.313365
38	0.0916318
38	0.17486
38	0.285241
38	0.277659
38	0.279777
38	0.129037
38	0.253634
38	0.236583
38	0.154762
38	0.211085
38	0.225319
38	0.158486
38	0.238162
38	0.161421
38	0.20722
38	0.253878
38	0.213343
38	0.151378
38	0.123004
38	0.236787
38	0.234521
38	0.192715
38	0.138552
38	0.186575
38	0.104792
38	0.305392
38	0.201988
38	0.231069
38	0.295792
38	0.173374
38	0.164171
38	0.311662
38	0.260466
38	0.233567
38	0.22308
38	0.17511
38	0.199763
38	0.278292
38	0.2509
38	0.192169
